球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
尤纳斯-瓦兰斯尤纳斯,多伦多猛龙,55,26:55,5,9.3,53.8%,0,0,0%,2.4,2.8,85.2%,2.9,6.9,9.8,0.7,1.4,0.5,0.7,2.8,12.4
托尼-阿伦,孟菲斯灰熊,49,27:52,3.9,8.6,45.6%,0.1,0.6,22.6%,1.3,2.1,62.9%,2.3,3.3,5.6,1.2,1.5,1.8,0.5,2.6,9.3
迈克-康利,孟菲斯灰熊,46,32:39,6.3,14.3,44.1%,2.4,5.8,41%,4.3,5,86.1%,0.5,3,3.5,6.2,2.3,1.3,0.3,1.7,19.3
马克-加索尔,孟菲斯灰熊,55,34:23,7.5,16.1,46.6%,1.4,3.6,38.5%,4.2,5,84.6%,0.8,5.4,6.3,4.3,2.2,1,1.4,2.4,20.6
安德鲁-哈里森,孟菲斯灰熊,53,21:55,1.7,5.3,31.6%,0.6,2.3,26%,2.2,2.9,76.6%,0.4,1.6,1.9,3,1.2,0.8,0.4,3,6.2
文斯-卡特,孟菲斯灰熊,50,24:02,2.7,6.9,38.7%,1.5,4.1,36.5%,1.2,1.7,72.1%,0.5,2.7,3.2,1.8,0.6,0.8,0.5,2.3,8
詹姆斯-恩尼斯,孟菲斯灰熊,44,25:24,2.6,5.5,47.5%,1,2.4,41.3%,1.5,1.9,78.6%,1.3,2.9,4.2,1,1.1,0.8,0.3,2.9,7.7
杰迈克尔-格林,孟菲斯灰熊,56,28:32,3.2,6.7,48.5%,0.7,1.9,36.8%,1.8,2.3,79.8%,2.2,5.1,7.3,1.2,1.3,0.7,0.5,3.5,9
扎克-兰多夫,孟菲斯灰熊,50,24:18,6,13.1,45.5%,0.3,1.3,25%,1.9,2.5,75.8%,2.5,5.8,8.3,1.7,1.3,0.5,0.1,2.1,14.1
贾雷尔-马丁,孟菲斯灰熊,40,13:26,1.4,3.6,37.5%,0.2,0.6,34.6%,1,1.2,79.2%,0.9,3,3.9,0.2,0.7,0.4,0.2,2.2,3.9
特洛伊-丹尼尔斯,孟菲斯灰熊,43,17:15,2.9,7.4,38.8%,2,5.2,39.2%,0.8,1,81.8%,0.3,1,1.3,0.7,0.6,0.3,0.1,1.4,8.6
肯巴-沃克,夏洛特黄蜂,56,34:23,8,17.8,44.9%,2.7,6.8,39.7%,3.9,4.7,84%,0.6,3.5,4.1,5.5,2.2,1.2,0.3,1.6,22.7
尼古拉斯-巴图姆,夏洛特黄蜂,54,34:42,5,12.3,40.5%,1.8,5,35.4%,3.3,3.8,85%,0.7,6.3,7,6,2.7,1.1,0.4,1.6,15
迈克尔-基德-吉尔克里斯特,夏洛特黄蜂,56,29:51,3.6,7.8,45.9%,0,0.1,12.5%,1.9,2.5,76.8%,2,5.6,7.6,1.4,0.8,0.9,1,2.3,9.1
科迪-泽勒,夏洛特黄蜂,39,26:46,4.2,7.2,58.7%,0,0,0%,2.4,3.4,69.2%,2.3,4.2,6.5,1.4,1.3,0.8,1.1,3.2,10.8
弗兰克-卡明斯基,夏洛特黄蜂,55,25:16,4.1,10.3,39.2%,1.4,4.4,31%,1.4,1.9,74.5%,0.8,3.7,4.5,2.1,1,0.8,0.5,1.7,10.9
马文-威廉姆斯,夏洛特黄蜂,51,28:40,3.9,9.6,40.8%,1.7,4.9,34.3%,1.5,1.7,85.2%,0.9,4.7,5.6,1.2,0.7,0.7,0.6,1.6,11
马科-贝里内利,夏洛特黄蜂,52,24:36,3.7,8.6,43.2%,1.5,4,36.8%,1.8,2,88.5%,0.2,2.4,2.6,1.8,1,0.6,0.2,1.3,10.7
雷蒙-塞申斯,夏洛特黄蜂,50,16:12,2,5.3,38%,0.4,1.2,33.9%,1.8,2.4,77.1%,0.2,1.2,1.5,2.6,0.9,0.5,0.1,0.9,6.2
迈尔斯-普拉姆利,夏洛特黄蜂,37,10:11,1,2.1,48.1%,0,0,0%,0.6,0.9,62.9%,0.8,1.2,2,0.5,0.7,0.3,0.3,1.5,2.6
杰里米-兰姆,夏洛特黄蜂,37,17:07,3.4,7.8,43.9%,0.6,2.4,25%,1.8,2.2,80.7%,0.5,3.9,4.4,1.1,0.6,0.3,0.4,1.6,9.2
[Finished in 5.4s]
