球员名字,所属球队,场次,时间,投篮投中数,投篮出手数,投篮命中率,三分球投中数,三分球出手数,三分球命中率,罚篮投中数,罚篮出手数,罚篮命中率,篮板进攻,篮板防守,篮板总计,助攻,失误,抢断,盖帽,犯规,得分
达伦-科里森,萨克拉门托国王,50,30:57,5.2,10.8,47.9%,1.3,3,42.6%,2.1,2.4,86%,0.4,1.8,2.1,4.3,1.7,1.1,0.1,1.9,13.7
朗斯通-加洛维 ,萨克拉门托国王,55,20:21,3,8,37.4%,1.8,4.9,37.7%,0.7,0.9,76.9%,0.4,1.8,2.2,1.2,0.5,0.7,0.1,1.4,8.6
马特-巴恩斯,萨克拉门托国王,54,25:18,2.7,7.1,38.4%,1.3,3.9,32.7%,0.9,1.2,75.8%,1,4.4,5.4,2.8,1.5,0.7,0.3,2.6,7.6
安东尼-托利弗,萨克拉门托国王,46,23:20,2.4,5.4,44.4%,1.4,3.6,39%,0.9,1.2,79.2%,1,2.9,3.9,1,0.8,0.6,0.2,1.7,7.1
科斯塔-库弗斯,萨克拉门托国王,58,19:10,2.8,4.8,58.2%,0,0,0%,0.5,0.9,54.9%,1.6,3.8,5.4,0.6,0.8,0.6,0.6,2.3,6.1
本-麦克勒摩,萨克拉门托国王,43,18:03,2.5,6,41.4%,1,2.6,37.8%,0.8,1,78.6%,0.3,1.2,1.5,0.8,0.9,0.5,0.1,1.4,6.7
威利-考利-斯坦因,萨克拉门托国王,51,13:24,2.7,4.8,56.7%,0,0,0%,0.8,1.3,60.9%,1,1.9,2.8,0.5,0.6,0.5,0.5,1.8,6.2
阿隆-阿弗拉罗,萨克拉门托国王,49,25:34,2.8,6.5,42.9%,1,2.5,39%,1.2,1.4,88.4%,0.2,1.7,1.9,1.2,0.7,0.4,0.1,1.8,7.8
巴迪-希尔德,萨克拉门托国王,58,20:28,3.3,8.3,39.6%,1.6,4.2,36.9%,0.6,0.6,88.9%,0.3,2.6,3,1.3,0.8,0.3,0.1,1.4,8.7
卡瓦伊-莱纳德,圣安东尼奥马刺,51,33:31,8.6,17.7,48.7%,2,5.1,39.5%,6.6,7.4,89.9%,1.2,4.7,5.9,3.3,2.1,1.8,0.7,1.5,25.9
马努-吉诺比利,圣安东尼奥马刺,49,18:26,2.5,6.5,38.2%,1.3,3.3,40.6%,1.4,1.7,82.1%,0.4,1.9,2.3,2.5,1.3,1.1,0.3,1.7,7.7
丹尼-格林,圣安东尼奥马刺,48,26:41,2.8,6.6,41.9%,1.9,4.7,40.5%,0.3,0.4,83.3%,0.4,2.9,3.3,1.8,1.1,1,0.8,1.8,7.7
帕蒂-米尔斯,圣安东尼奥马刺,55,21:17,3.5,7.8,45.2%,1.8,4.1,43.4%,0.9,1,85.7%,0.3,1.5,1.8,3.3,1.3,0.8,0,1.4,9.7
乔纳森-西蒙斯,圣安东尼奥马刺,52,18:07,2.3,5.3,43.5%,0.4,1.2,30.2%,1.4,1.8,75%,0.3,2.1,2.3,1.6,1,0.7,0.4,1.9,6.4
凯尔-安德森,圣安东尼奥马刺,51,13:09,1,2.4,42.7%,0.2,0.5,37.5%,0.7,0.9,79.5%,0.4,2.2,2.6,1.1,0.5,0.6,0.4,0.7,2.9
拉马库斯-阿尔德里奇,圣安东尼奥马刺,51,32:20,6.8,14.3,47.9%,0.3,0.7,42.1%,3.5,4.4,81.5%,2.3,5,7.3,2.1,1.5,0.6,1.1,2.4,17.5
